trial_idx,hash,type,short_name,movie_name,label,is_natural,origin,naturalness_group
75,GjCMo2GkJp6y5vricadg,Clip,Rendered,americandiner_005-1-5-70-0_54.165.28.255,Rendered,True,rendered,cg_natural
76,Oup5uAZxF2G7zEJkT+ui,Clip,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,Sports1M,True,filmed,human_filmed
77,ecUQJtcERZJGdqza1k7h,Clip,sports1m,2009 Krugers Cross Singlespeed Cyclocross Race - Helmet Cam,Sports1M,True,filmed,human_filmed
78,okYfMyn8qc2ClgvpS7WG,Clip,sports1m,2009 Skijoring Event in Whitefish Montana (part 1),Sports1M,True,filmed,human_filmed
79,NHlF8hOkZ6psFRIVhB6N,Clip,Rendered,ancienttomb_107-1-4-70-0_54.165.28.255,Rendered,True,rendered,cg_natural
80,AxNNo310kAl9uUSr+hXS,Clip,Rendered,medievalsewer_009-1-6-70-0_107.23.36.15,Rendered,True,rendered,cg_natural
81,mjtZRmGqaXCHGB59txoI,Clip,Cinematic,Powaqqatsi: Life in Transformation (1988),Cinematic,True,filmed,human_filmed
82,W50xYLSTlUixv1tOfuSJ,Clip,sports1m,2011 Boulder Cup Cyclocross Elite Women,Sports1M,True,filmed,human_filmed
83,WpAnXD10RC/bdk0t5JIH,Clip,sports1m,1 of 5 - 2010 ICup 2nd Annual Rock The Canyons XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
84,L8KwGaDNqOdRdsf0Y79W,Clip,Cinematic,The Matrix (1999),Cinematic,True,filmed,human_filmed
85,DhbBkR5zUaBciz2pIBIg,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True,filmed,human_filmed
86,Jw/AzcjXrYQ4ktmRsIJ8,Clip,Rendered,medievalsewer_121-1-6-70-0_34.203.243.27,Rendered,True,rendered,cg_natural
87,r1FnSfB9RmaADPBhe5b0,Clip,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,Sports1M,True,filmed,human_filmed
88,VUnLGg+TYi3LyI0GAelz,Clip,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
89,hXMRMTHQk7D9hqbJ26p8,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True,filmed,human_filmed
90,UIRT1CCHgVDfheNGYQd6,Clip,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),Cinematic,True,filmed,human_filmed
91,Qtx9ZilPEN9mdem3G1lL,Clip,sports1m,2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized),Sports1M,True,filmed,human_filmed
